Fund Code,Financing Currency,Fund,Reporting Currency,Report Date,Fund SPN,Strategy,Swap Name,Swap Deal Reference,Client Trade Reference,Swap Trade ID,Underlier Type,Underlier Name,ISIN Code,CUSIP Code,Sedol Code,Bloomberg Code,RIC Code,Activity,Trade Type,Trade Activity Type,Trade Date,Effective Date,Termination Date,Long Short Indicator,Synthetic Buy / Sell,Initial Quantity,Underlying Currency,Initial FX Rate,Initial price,Trade Notional,Additional Spread,Long Financing Spread (%),Dividend Distribution %,USI Prefix,USI Value,UTI Prefix,UTI Value,Gross Notional,Gross Price,Gross Price Local,Commission Type,Commission Value,Commission Value in Reporting Currency
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262684,0,20130345_252912795,STK,TIANFENG SECURITIES CO LTD-A (C1),CNE100003F43,Y8817L102,BK94886,601162 C1,601162.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-130000,CNY,0.1425354,1.0914305,-141885.9637,-4,0,100,1030244641,PAA2XKZ1WQMNV,1030244641,PAA2XKZ1WQMNV,-142068.3316,1.0928333,7.6671,FLAT_AMOUNT,-174.43,-174.43
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260291,0,20130345_252915438,STK,TIANQI LITHIUM CORP-A (C2),CNE100000T32,Y79327105,BD5CKH8,002466 C2,002466.ZK,UNWIND,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,B,1100,CNY,0.1425354,3.8371001,4220.810132,0,0,0,1030244641,PAA2XKZ1W782H,1030244641,PAA2XKZ1W782H,4219.6143,3.836013,26.9127,FLAT_AMOUNT,5.18,5.18
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260232,0,20130345_252913940,STK,TIBET SUMMIT RESOURCES CO-A (C1),CNE0000016D2,Y9723V101,BFB4HB5,600338 C1,600338.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-9800,CNY,0.1425354,1.9473816,-19084.33988,-4,0,100,1030244641,PAA2XKZ1W781F,1030244641,PAA2XKZ1W781F,-19108.8686,1.9498846,13.68,FLAT_AMOUNT,-23.46,-23.46
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260329,0,20130345_252913469,STK,TONGFU MICROELECTRONIC CO-A (C2),CNE1000006C3,Y6199W100,BD5M001,002156 C2,002156.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-500,CNY,0.1425354,4.0285727,-2014.286325,-5.3,0,100,1030244641,PAA2XKZ1W7SU8,1030244641,PAA2XKZ1W7SU8,-2016.8762,4.0337524,28.3,FLAT_AMOUNT,-2.48,-2.48
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262806,0,20130345_252914264,STK,TONGWEI CO LTD-A 2 (C1),CNE000001GS3,Y8884V108,BP3RCK6,600438 C1,600438.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-90300,CNY,0.1425354,2.8548214,-257790.3724,-5.3,0,100,1030244641,PAA2XKZ1W74TM,1030244641,PAA2XKZ1W74TM,-258121.7219,2.8584908,20.0546,FLAT_AMOUNT,-316.91,-316.91
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260182,0,20130345_252912841,STK,TSINGTAO BREWERY CO LTD-A (C1),CNE0000009Y3,Y8997D110,BP3R499,600600 C1,600600.SH,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-200,CNY,0.1425354,11.2017161,-2240.343226,-5.3,0,100,1030244641,PAA2XKZ1WQMJ8,1030244641,PAA2XKZ1WQMJ8,-2243.2224,11.2161122,78.69,FLAT_AMOUNT,-2.75,-2.75
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260408,0,20130345_252913281,STK,UNIGROUP GUOXIN MICROELECT-A (C2),CNE000001M14,Y8488J105,BD5CL75,002049 C2,002049.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-2100,CNY,0.1425354,18.5334769,-38920.30143,-7.3,0,100,1030244641,PAA2XKZ1WQMPT,1030244641,PAA2XKZ1WQMPT,-38970.3284,18.5572992,130.1943,FLAT_AMOUNT,-47.85,-47.85
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262795,0,20130345_252913939,STK,VENUSTECH GROUP INC-A (C2),CNE100000QJ2,Y07764106,BD5CJQ0,002439 C2,002439.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-32300,CNY,0.1425354,6.4943463,-209767.3865,-6.15,0,100,1030244641,PAA2XKZ1W74ND,1030244641,PAA2XKZ1W74ND,-210037.0136,6.5026939,45.6216,FLAT_AMOUNT,-257.88,-257.88
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3262809,0,20130345_252914299,STK,WANDA FILM HOLDING CO LTD-A (C2),CNE100001WW1,Y94885103,BD5CPH3,002739 C2,002739.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-63800,CNY,0.1425354,2.6741334,-170609.7096,-7.9,0,100,1030244641,PAA2XKZ1W74LT,1030244641,PAA2XKZ1W74LT,-170829.0062,2.6775706,18.7853,FLAT_AMOUNT,-209.74,-209.74
I8W,USD,MINGSHI CHINA OPTIMA MASTER FUND,USD,2020/7/10,2533938,2533938,I8W_USD,A3260228,0,20130345_252914595,STK,WESTERN SECURITIES CO LTD-A (C2),CNE100001D96,Y9382Q104,BD5CP73,002673 C2,002673.ZK,INCREASE,NEW,Trade,2020/7/10,2020/7/14,2021/8/24,S,S,-17100,CNY,0.1425354,1.51463,-25900.17266,-5.7,0,100,1030244641,PAA2XKZ1WQMS1,1030244641,PAA2XKZ1WQMS1,-25933.4645,1.5165769,10.64,FLAT_AMOUNT,-31.84,-31.84
